test_id,tested_at_utc,method,path,http_status,latency_ms,response_content_type,retry_after_present,classification
known_good_control,2026-07-27T07:50:34.922Z,POST,/chat/completions,200,1050,application/json,false,live-control
missing_authorization,2026-07-27T07:50:51.379Z,POST,/chat/completions,401,300,,false,live-provider-response
invalid_authorization,2026-07-27T07:50:51.677Z,POST,/chat/completions,401,298,application/json,false,live-provider-response
malformed_json,2026-07-27T07:50:51.960Z,POST,/chat/completions,400,282,application/octet-stream,false,live-provider-response
empty_object,2026-07-27T07:50:52.302Z,POST,/chat/completions,400,342,application/json,false,live-provider-response
messages_object_not_array,2026-07-27T07:50:52.566Z,POST,/chat/completions,400,264,application/json,false,live-provider-response
invalid_model_id,2026-07-27T07:50:52.832Z,POST,/chat/completions,400,266,application/octet-stream,false,live-provider-response
temperature_above_max,2026-07-27T07:50:53.095Z,POST,/chat/completions,400,263,application/octet-stream,false,live-provider-response
invalid_user_id_characters,2026-07-27T07:50:53.793Z,POST,/chat/completions,200,697,application/json,false,dated-compatibility-observation
user_id_too_long,2026-07-27T07:50:54.077Z,POST,/chat/completions,400,284,application/octet-stream,false,live-provider-response
unsupported_developer_role,2026-07-27T07:50:54.342Z,POST,/chat/completions,400,265,application/json,false,live-provider-response
wrong_path,2026-07-27T07:50:54.608Z,POST,/chat/completion,404,266,,false,live-router-response
wrong_method,2026-07-27T07:50:54.882Z,GET,/chat/completions,405,274,,false,live-router-response
wrong_content_type,2026-07-27T07:50:55.160Z,POST,/chat/completions,415,277,text/plain,false,live-media-type-response
missing_request_body_repeat_1,2026-07-27T07:52:30.695Z,POST,/chat/completions,400,334,application/octet-stream,false,live-provider-response
missing_request_body_repeat_2,2026-07-27T07:52:30.996Z,POST,/chat/completions,400,301,application/octet-stream,false,live-provider-response
missing_request_body_repeat_3,2026-07-27T07:52:31.267Z,POST,/chat/completions,400,271,application/octet-stream,false,live-provider-response
missing_request_body_repeat_4,2026-07-27T07:52:31.539Z,POST,/chat/completions,400,272,application/octet-stream,false,live-provider-response
