case_id,requested_at_utc,method,path,credential_alias,auth_variant,status,latency_ms,passed,observation
LIVE-01,2026-07-27T10:42:01.137Z,GET,/models,A,valid,200,497,true,"list schema passed; 2 models"
LIVE-02,2026-07-27T10:42:07.835Z,POST,/chat/completions,A,valid,200,785,true,"nonempty chat completion; 23 total tokens"
LIVE-03,2026-07-27T10:42:12.429Z,GET,/user/balance,A,valid,200,276,true,"availability boolean observed; monetary values omitted"
AUTH-01,2026-07-27T10:42:24.069Z,GET,/models,,missing,401,313,true,"missing Authorization header denied"
AUTH-02,2026-07-27T10:42:24.382Z,GET,/models,,empty_bearer,401,300,true,"empty Bearer credential denied"
AUTH-03,2026-07-27T10:42:24.682Z,GET,/models,,wrong_scheme,401,304,true,"wrong authentication scheme denied"
AUTH-04,2026-07-27T10:42:24.986Z,GET,/models,,invalid,401,268,true,"synthetic invalid credential denied"
ROT-01,2026-07-27T10:43:17.574Z,GET,/models,B,valid,200,320,true,"replacement key valid before switch"
ROT-02,2026-07-27T10:43:17.894Z,GET,/models,A,valid,200,300,true,"old key valid during overlap"
ROT-03,2026-07-27T10:45:25.327Z,GET,/models,A,revoked,401,,true,"old key denied on first poll"
ROT-04,2026-07-27T10:45:33.125Z,GET,/models,B,valid_after_a_revocation,200,306,true,"replacement key remained valid"
ROT-05,2026-07-27T10:46:07.911Z,GET,/models,B,revoked,401,,true,"replacement test key denied on first poll"
