case_id,sdk,scenario,requested_model,status,elapsed_ms,outcome,finish_reason,content_nonempty,reasoning_present,json_valid,tool_call_valid,returned_model,exception_class,error_code
py-models-list,python,models_list,,200,2453,parsed_model_list,,,,,,,,
py-basic-chat,python,basic_chat,deepseek-v4-flash,200,1469,parsed_reasoning_only_under_cap,length,false,true,,,,,
py-thinking-disabled,python,thinking_disabled,deepseek-v4-flash,200,1156,parsed_non_thinking,length,true,false,,,,,
py-thinking-enabled,python,thinking_enabled,deepseek-v4-pro,200,1969,parsed_thinking,stop,true,true,,,,,
py-streaming,python,streaming,deepseek-v4-flash,200,922,stream_complete,stop,true,false,,,,,
py-json-output,python,json_output,deepseek-v4-flash,200,1469,valid_json,,true,,true,,,,
py-tool-initial,python,tool_initial,deepseek-v4-flash,200,1250,valid_tool_call,tool_calls,,,,true,,,
py-tool-continuation,python,tool_continuation,deepseek-v4-flash,200,859,round_trip_complete,stop,true,,,,,,
py-invalid-model,python,invalid_model,deepseek-does-not-exist,400,297,typed_expected_error,,,,,,,BadRequestError,invalid_request_error
py-deepseek-chat-alias,python,alias_probe,deepseek-chat,200,719,alias_observed,stop,,false,,,deepseek-v4-flash,,
node-models-list,node,models_list,,200,414,parsed_model_list,,,,,,,,
node-basic-chat,node,basic_chat,deepseek-v4-flash,200,1639,parsed_reasoning_only_under_cap,length,false,true,,,,,
node-thinking-disabled,node,thinking_disabled,deepseek-v4-flash,200,934,parsed_non_thinking,stop,true,false,,,,,
node-thinking-enabled,node,thinking_enabled,deepseek-v4-pro,200,1693,parsed_thinking,stop,true,true,,,,,
node-streaming,node,streaming,deepseek-v4-flash,200,1285,stream_complete,stop,true,false,,,,,
node-json-output,node,json_output,deepseek-v4-flash,200,977,valid_json,,true,,true,,,,
node-tool-initial,node,tool_initial,deepseek-v4-flash,200,1146,valid_tool_call,tool_calls,,,,true,,,
node-tool-continuation,node,tool_continuation,deepseek-v4-flash,200,1020,round_trip_complete,stop,true,,,,,,
node-invalid-model,node,invalid_model,deepseek-does-not-exist,400,284,typed_expected_error,,,,,,,BadRequestError,invalid_request_error
node-deepseek-reasoner-alias,node,alias_probe,deepseek-reasoner,200,1191,alias_observed,length,,true,,,deepseek-v4-flash,,
