case_id,client,scenario,requested_model,thinking,request_issued,status,elapsed_ms,finish_reason,content_nonempty,reasoning_present,event_count,json_valid,tool_call_valid,exception_class,error_code,skip_code
sync-standard-disabled,sync,standard_chat,deepseek-v4-flash,disabled,True,200,2406,stop,True,False,,,,,,
sync-standard-enabled,sync,standard_chat,deepseek-v4-pro,enabled,True,200,2015,length,False,True,,,,,,
sync-stream-disabled,sync,streaming_chat,deepseek-v4-flash,disabled,True,200,969,length,,False,34,,,,,
sync-stream-enabled,sync,streaming_chat,deepseek-v4-pro,enabled,True,200,2172,length,,True,98,,,,,
sync-json-output,sync,json_output,deepseek-v4-flash,disabled,True,200,1031,,True,,,True,,,,
sync-invalid-model,sync,invalid_model,deepseek-does-not-exist,disabled,True,400,282,,,,,,,BadRequestError,invalid_request_error,
async-standard-disabled,async,standard_chat,deepseek-v4-flash,disabled,True,200,859,stop,True,False,,,,,,
async-standard-enabled,async,standard_chat,deepseek-v4-pro,enabled,True,200,2188,length,False,True,,,,,,
async-stream-disabled,async,streaming_chat,deepseek-v4-flash,disabled,True,200,1015,stop,,False,13,,,,,
async-stream-enabled,async,streaming_chat,deepseek-v4-pro,enabled,True,200,2172,length,,True,98,,,,,
async-json-output,async,json_output,deepseek-v4-flash,disabled,True,200,1031,,True,,,True,,,,
async-tool-initial,async,tool_initial,deepseek-v4-flash,disabled,True,200,1063,tool_calls,,,,,True,,,
async-tool-continuation,async,tool_continuation,deepseek-v4-flash,disabled,True,200,750,stop,True,,,,,,,
async-invalid-model,async,invalid_model,deepseek-does-not-exist,disabled,True,400,266,,,,,,,BadRequestError,invalid_request_error,
