suite,variant,model,http_status,latency_ms,finish_reason,reasoning_present,reasoning_tokens,completion_tokens,prompt_tokens,answer_valid,estimated_cost_usd
thinking_toggle,default_omitted,deepseek-v4-flash,200,1521,stop,true,85,92,58,true,0.00003388
thinking_toggle,explicit_enabled,deepseek-v4-flash,200,1483,stop,true,91,99,58,true,0.00003584
thinking_toggle,explicit_disabled,deepseek-v4-flash,200,1176,stop,false,,10,58,true,0.00001092
thinking_toggle,default_omitted,deepseek-v4-pro,200,2550,stop,true,157,165,58,true,0.00016878
thinking_toggle,explicit_enabled,deepseek-v4-pro,200,2232,stop,true,105,113,58,true,0.00012354
thinking_toggle,explicit_disabled,deepseek-v4-pro,200,1035,stop,false,,10,58,true,0.00003393
reasoning_effort,low_max_tokens_512,deepseek-v4-flash,200,5251,length,true,512,512,67,false,
reasoning_effort,medium_max_tokens_512,deepseek-v4-flash,200,4586,stop,true,462,471,67,true,
reasoning_effort,high_max_tokens_512,deepseek-v4-flash,200,4262,stop,true,406,417,67,true,
reasoning_effort,xhigh_max_tokens_512,deepseek-v4-flash,200,5081,length,true,503,512,146,true,
reasoning_effort,max_max_tokens_512,deepseek-v4-flash,200,4765,length,true,511,512,146,false,
reasoning_effort,high_max_tokens_1024,deepseek-v4-flash,200,3998,stop,true,376,386,67,true,0.00011746
reasoning_effort,max_max_tokens_1024,deepseek-v4-flash,200,6998,stop,true,802,811,146,true,0.00024752
multi_turn,replay_actual_reasoning,deepseek-v4-flash,200,1295,stop,true,40,,40,true,
multi_turn,omit_reasoning,deepseek-v4-flash,200,1110,stop,true,40,,40,true,
multi_turn,long_sentinel_reasoning,deepseek-v4-flash,200,1452,stop,true,78,,40,true,
tool_history,replay_reasoning,deepseek-v4-flash,200,1171,stop,true,30,43,421,true,
tool_history,omit_reasoning,deepseek-v4-flash,200,1170,stop,true,27,40,421,true,
tool_history,replay_reasoning,deepseek-v4-pro,200,1529,stop,true,30,46,443,true,
tool_history,omit_reasoning,deepseek-v4-pro,200,1280,stop,true,32,45,443,true,
tool_choice,auto,deepseek-v4-flash,200,1405,tool_calls,true,38,87,333,true,
tool_choice,auto,deepseek-v4-pro,200,2026,tool_calls,true,38,,333,true,
streaming,separate_reasoning_and_content,deepseek-v4-flash,200,849,stop,true,23,29,20,true,
json_output,enabled_minimal_prompt,deepseek-v4-flash,200,771,stop,true,9,9,45,false,
json_output,enabled_explicit_prompt,deepseek-v4-flash,200,1041,stop,true,18,28,53,true,
json_output,disabled_explicit_prompt,deepseek-v4-flash,200,802,stop,false,,9,53,true,
