source,case_id,group,scenario,phase,model,thinking,tool_choice,route,stream,max_tokens,request_issued,status,status_class,elapsed_ms,finish_reason,content_nonempty,tool_call_count,unique_tool_call_id_count,call_shape_valid,tool_names_valid,arguments_parsed,arguments_valid,reasoning_present,done_seen,event_count,prompt_tokens,completion_tokens,total_tokens,expected_tool_call_count,continuation_eligible,expectation_met,skip_code
primary,choice-flash-disabled-omitted-no-tools,tool_choice_matrix,,,deepseek-v4-flash,disabled,omitted-no-tools,standard,false,48,true,200,success,440,stop,true,0,0,true,true,true,true,false,,,18,2,20,,,true,
primary,choice-flash-disabled-omitted-tools,tool_choice_matrix,,,deepseek-v4-flash,disabled,omitted-tools,standard,false,48,true,200,success,278,length,false,1,1,true,true,false,false,false,,,366,48,414,,,true,
primary,choice-flash-disabled-none,tool_choice_matrix,,,deepseek-v4-flash,disabled,none,standard,false,48,true,200,success,289,stop,true,0,0,true,true,true,true,false,,,18,2,20,,,true,
primary,choice-flash-disabled-auto,tool_choice_matrix,,,deepseek-v4-flash,disabled,auto,standard,false,48,true,200,success,285,length,false,1,1,true,true,false,false,false,,,366,48,414,,,true,
primary,choice-flash-disabled-required,tool_choice_matrix,,,deepseek-v4-flash,disabled,required,standard,false,48,true,200,success,296,length,false,1,1,true,true,false,false,false,,,373,48,421,,,false,
primary,choice-flash-disabled-named,tool_choice_matrix,,,deepseek-v4-flash,disabled,named,standard,false,48,true,200,success,295,length,false,1,1,true,true,false,false,false,,,373,48,421,,,false,
primary,choice-flash-enabled-required,tool_choice_matrix,,,deepseek-v4-flash,enabled,required,standard,false,48,true,400,bad_request,350,,,,,,,,,,,,,,,,,false,
primary,choice-flash-enabled-named,tool_choice_matrix,,,deepseek-v4-flash,enabled,named,standard,false,48,true,400,bad_request,296,,,,,,,,,,,,,,,,,false,
primary,choice-pro-disabled-omitted-no-tools,tool_choice_matrix,,,deepseek-v4-pro,disabled,omitted-no-tools,standard,false,48,true,200,success,353,stop,true,0,0,true,true,true,true,false,,,18,2,20,,,true,
primary,choice-pro-disabled-omitted-tools,tool_choice_matrix,,,deepseek-v4-pro,disabled,omitted-tools,standard,false,48,true,200,success,306,length,false,1,1,true,true,false,false,false,,,366,48,414,,,true,
primary,choice-pro-disabled-none,tool_choice_matrix,,,deepseek-v4-pro,disabled,none,standard,false,48,true,200,success,294,stop,true,0,0,true,true,true,true,false,,,18,2,20,,,true,
primary,choice-pro-disabled-auto,tool_choice_matrix,,,deepseek-v4-pro,disabled,auto,standard,false,48,true,200,success,288,length,false,1,1,true,true,false,false,false,,,366,48,414,,,true,
primary,choice-pro-disabled-required,tool_choice_matrix,,,deepseek-v4-pro,disabled,required,standard,false,48,true,200,success,302,length,false,1,1,true,true,false,false,false,,,373,48,421,,,false,
primary,choice-pro-disabled-named,tool_choice_matrix,,,deepseek-v4-pro,disabled,named,standard,false,48,true,200,success,283,length,false,1,1,true,true,false,false,false,,,373,48,421,,,false,
primary,choice-pro-enabled-required,tool_choice_matrix,,,deepseek-v4-pro,enabled,required,standard,false,48,true,400,bad_request,285,,,,,,,,,,,,,,,,,false,
primary,choice-pro-enabled-named,tool_choice_matrix,,,deepseek-v4-pro,enabled,named,standard,false,48,true,400,bad_request,439,,,,,,,,,,,,,,,,,false,
primary,single-call-initial,single_tool_loop,,,deepseek-v4-flash,disabled,named,standard,false,64,true,200,success,322,length,false,1,1,true,true,false,false,false,,,366,64,430,,,false,
primary,single-call-final,single_tool_loop,,,deepseek-v4-flash,disabled,none,standard,false,64,false,,skipped,,,,,,,,,,,,,,,,,,false,invalid_tool_arguments
primary,multiple-call-initial,multiple_tool_loop,,,deepseek-v4-pro,disabled,required,standard,false,96,true,200,success,283,length,false,2,2,true,true,false,false,false,,,469,96,565,,,false,
primary,multiple-call-final,multiple_tool_loop,,,deepseek-v4-pro,disabled,none,standard,false,64,false,,skipped,,,,,,,,,,,,,,,,,,false,invalid_tool_arguments
primary,strict-beta-valid,strict_beta,,,deepseek-v4-flash,disabled,named,beta,false,64,true,200,success,286,length,false,1,1,true,true,false,false,false,,,531,64,595,,,false,
primary,strict-beta-invalid-control,strict_beta,,,deepseek-v4-flash,disabled,named,beta,false,64,true,200,success,361,length,false,1,1,true,true,false,false,false,,,526,64,590,,,false,
primary,strict-standard-route-control,strict_beta,,,deepseek-v4-flash,disabled,named,standard,false,64,true,200,success,286,length,false,1,1,true,true,false,false,false,,,528,64,592,,,false,
primary,strict-beta-missing-required-control,strict_beta,,,deepseek-v4-flash,disabled,named,beta,false,64,true,400,bad_request,277,,,,,,,,,,,,,,,,,true,
primary,strict-beta-minLength-control,strict_beta,,,deepseek-v4-flash,disabled,named,beta,false,64,true,200,success,306,length,false,1,1,true,true,false,false,false,,,530,64,594,,,false,
primary,thinking-replay-initial,thinking_replay,,,deepseek-v4-pro,enabled,auto,standard,false,96,true,200,success,297,length,false,1,1,true,true,false,false,true,,,359,96,455,,,false,
primary,thinking-replay-full,thinking_replay,,,deepseek-v4-pro,enabled,none,standard,false,64,false,,skipped,,,,,,,,,,,,,,,,,,false,thinking_tool_turn_unavailable
primary,thinking-replay-missing-control,thinking_replay,,,deepseek-v4-pro,enabled,none,standard,false,64,false,,skipped,,,,,,,,,,,,,,,,,,false,thinking_tool_turn_unavailable
primary,stream-flash-disabled,streaming_assembly,,,deepseek-v4-flash,disabled,named,standard,true,96,true,200,success,326,tool_calls,,1,1,,true,true,true,,true,31,372,74,446,,,true,
primary,stream-pro-enabled,streaming_assembly,,,deepseek-v4-pro,enabled,auto,standard,true,96,true,200,success,434,length,,1,1,,true,false,false,,true,55,365,96,461,,,false,
followup,followup-single-initial,diagnostic_followup,single_tool,initial,deepseek-v4-flash,disabled,named,standard,false,96,true,200,success,354,tool_calls,,1,1,true,true,true,true,,,,283,21,304,1,true,true,
followup,followup-single-continuation,diagnostic_followup,single_tool,continuation,deepseek-v4-flash,disabled,none,standard,false,96,true,200,success,286,stop,true,0,,,,,,,,,61,32,93,0,,true,
followup,followup-multiple-initial,diagnostic_followup,multiple_tools,initial,deepseek-v4-flash,disabled,required,standard,false,96,true,200,success,284,tool_calls,,2,2,true,true,true,true,,,,330,36,366,2,true,true,
followup,followup-multiple-continuation,diagnostic_followup,multiple_tools,continuation,deepseek-v4-flash,disabled,none,standard,false,96,true,200,success,549,stop,true,0,,,,,,,,,96,51,147,0,,true,
